source_code;target_table;data_type;canonical_metric;available_years
C11_POP1524_CS5;composition;NUM;pop_15_24_ans_employes_compl;2011
C11_POP1524_CS6;composition;NUM;pop_15_24_ans_ouvriers_compl;2011
C11_POP15P;composition;NUM;pop_15_ans_ou_plus_compl;2011
C11_POP15P_CS1;composition;NUM;pop_15_ans_ou_plus_agriculteurs_exploitants_compl;2011
C11_POP15P_CS2;composition;NUM;pop_15_ans_ou_plus_artisans_comm_chefs_entr_compl;2011
C11_POP15P_CS3;composition;NUM;pop_15_ans_ou_plus_cadres_prof_intel_sup_compl;2011
C11_POP15P_CS4;composition;NUM;pop_15_ans_ou_plus_prof_intermediaires_compl;2011
C11_POP15P_CS5;composition;NUM;pop_15_ans_ou_plus_employes_compl;2011
C11_POP15P_CS6;composition;NUM;pop_15_ans_ou_plus_ouvriers_compl;2011
C11_POP2554;composition;NUM;pop_25_54_ans_compl;2011
C11_POP2554_CS1;composition;NUM;pop_25_54_ans_agriculteurs_exploitants_compl;2011
C11_POP2554_CS2;composition;NUM;pop_25_54_ans_artisans_comm_chefs_entr_compl;2011
C11_POP2554_CS3;composition;NUM;pop_25_54_ans_cadres_prof_intel_sup_compl;2011
C11_POP2554_CS4;composition;NUM;pop_25_54_ans_prof_intermediaires_compl;2011
C11_POP2554_CS5;composition;NUM;pop_25_54_ans_employes_compl;2011
C11_POP2554_CS6;composition;NUM;pop_25_54_ans_ouvriers_compl;2011
C11_POP55P;composition;NUM;pop_55_ans_ou_plus_compl;2011
C11_POP55P_CS1;composition;NUM;pop_55_ans_ou_plus_agriculteurs_exploitants_compl;2011
C11_POP55P_CS2;composition;NUM;pop_55_ans_ou_plus_artisans_comm_chefs_entr_compl;2011
C11_POP55P_CS3;composition;NUM;pop_55_ans_ou_plus_cadres_prof_intel_sup_compl;2011
C11_POP55P_CS4;composition;NUM;pop_55_ans_ou_plus_prof_intermediaires_compl;2011
C11_POP55P_CS5;composition;NUM;pop_55_ans_ou_plus_employes_compl;2011
C11_POP55P_CS6;composition;NUM;pop_55_ans_ou_plus_ouvriers_compl;2011
C11_RP_NORME;composition;NUM;res_princ_occupation_norme;2011
C11_RP_SOUSOCC_ACC;composition;NUM;res_princ_sous_occupation_accentuee;2011
C11_RP_SOUSOCC_MOD;composition;NUM;res_princ_sous_occupation_moderee;2011
C11_RP_SOUSOCC_TACC;composition;NUM;res_princ_sous_occupation_tres_accentuee;2011
C11_RP_SUROCC_ACC;composition;NUM;res_princ_suroccupation_accentuee;2011
C11_RP_SUROCC_MOD;composition;NUM;res_princ_suroccupation_moderee;2011
C16_ACT1564;composition;NUM;actifs_15_64_ans_compl;2016
C16_ACT1564_CS1;composition;NUM;actifs_15_64_ans_agriculteurs_exploitants_compl;2016
C16_ACT1564_CS2;composition;NUM;actifs_15_64_ans_artisans_comm_chefs_entr_compl;2016
C16_ACT1564_CS3;composition;NUM;actifs_15_64_ans_cadres_prof_intel_sup_compl;2016
C16_ACT1564_CS4;composition;NUM;actifs_15_64_ans_prof_intermediaires_compl;2016
C16_ACT1564_CS5;composition;NUM;actifs_15_64_ans_employes_compl;2016
C16_ACT1564_CS6;composition;NUM;actifs_15_64_ans_ouvriers_compl;2016
C16_ACTOCC1564;composition;NUM;actifs_occupes_15_64_ans_compl;2016
C16_ACTOCC1564_CS1;composition;NUM;actifs_occ_15_64_ans_agriculteurs_exploitants_compl;2016
C16_ACTOCC1564_CS2;composition;NUM;actifs_occ_15_64_ans_artisans_comm_chefs_entr_compl;2016
C16_ACTOCC1564_CS3;composition;NUM;actifs_occ_15_64_ans_cadres_prof_intel_sup_compl;2016
C16_ACTOCC1564_CS4;composition;NUM;actifs_occ_15_64_ans_prof_intermediaires_compl;2016
C16_ACTOCC1564_CS5;composition;NUM;actifs_occupes_15_64_ans_employes_compl;2016
C16_ACTOCC1564_CS6;composition;NUM;actifs_occupes_15_64_ans_ouvriers_compl;2016
C16_AGRILT_F;composition;NUM;emplois_femmes_au_lt_agriculture_compl;2016
C16_AGRILT_FNSAL;composition;NUM;emplois_non_sal_femmes_au_lt_agriculture_compl;2016
C16_AGRILT_FSAL;composition;NUM;emplois_salaries_femmes_au_lt_agriculture_compl;2016
C16_AGRILT_NSAL;composition;NUM;emplois_non_salaries_au_lt_agriculture_compl;2016
C16_AGRILT_SAL;composition;NUM;emplois_salaries_au_lt_agriculture_compl;2016
